pid,trial,task,group,peak_N
040,SJ_pre1,SJ,Hamstrings,4176.1559865
040,SJ_pre1,SJ,Adductors,4240.33191643
040,SJ_pre1,SJ,Triceps surae,7130.88364402
040,SJ_pre1,SJ,Iliopsoas,2347.26629675
040,SJ_pre1,SJ,Rectus femoris,2586.53273143
040,SJ_pre1,SJ,Tibialis anterior,814.77992079
040,SJ_pre1,SJ,Piriformis,1272.9799864
040,SJ_pre2,SJ,Vasti,12319.99636297
040,SJ_pre2,SJ,Gluteus maximus,3405.5953156800006
040,SJ_pre2,SJ,Gluteus medius,3010.7531429500004
040,SJ_pre2,SJ,Gluteus minimus,1298.0198890699999
040,SJ_pre2,SJ,Hamstrings,4919.48196306
040,SJ_pre2,SJ,Adductors,4055.2109761200004
040,SJ_pre2,SJ,Triceps surae,12893.30022232
040,SJ_pre2,SJ,Iliopsoas,2123.85467994
040,SJ_pre2,SJ,Rectus femoris,2685.62889483
040,SJ_pre2,SJ,Tibialis anterior,820.23716365
040,SJ_pre2,SJ,Piriformis,994.60249076
040,SJ_pre3,SJ,Vasti,11653.79520137
040,SJ_pre3,SJ,Gluteus maximus,3578.9520950000006
040,SJ_pre3,SJ,Gluteus medius,3230.8431242399997
040,SJ_pre3,SJ,Gluteus minimus,1233.1377089799998
040,SJ_pre3,SJ,Hamstrings,5265.90501913
040,SJ_pre3,SJ,Adductors,4499.175063299999
040,SJ_pre3,SJ,Triceps surae,13886.40669482
040,SJ_pre3,SJ,Iliopsoas,2008.92077393
040,SJ_pre3,SJ,Rectus femoris,2548.80916125
040,SJ_pre3,SJ,Tibialis anterior,697.35955068
040,SJ_pre3,SJ,Piriformis,1097.07515875
040,SJ_pre4,SJ,Vasti,12217.008843189999
040,SJ_pre4,SJ,Gluteus maximus,3685.1527118799995
040,SJ_pre4,SJ,Gluteus medius,3324.8660796
040,SJ_pre4,SJ,Gluteus minimus,1183.23420932
040,SJ_pre4,SJ,Hamstrings,4678.98103445
040,SJ_pre4,SJ,Adductors,4347.90043573
040,SJ_pre4,SJ,Triceps surae,13859.67130394
040,SJ_pre4,SJ,Iliopsoas,2070.15087351
040,SJ_pre4,SJ,Rectus femoris,2602.95528516
040,SJ_pre4,SJ,Tibialis anterior,819.33825877
040,SJ_pre4,SJ,Piriformis,1219.61791707
040,SJ_pre5,SJ,Vasti,12429.85788335
040,SJ_pre5,SJ,Gluteus maximus,3118.70651096
040,SJ_pre5,SJ,Gluteus medius,3200.78752639
040,SJ_pre5,SJ,Gluteus minimus,1444.32478274
040,SJ_pre5,SJ,Hamstrings,5189.27809314
040,SJ_pre5,SJ,Adductors,4520.566413130001
040,SJ_pre5,SJ,Triceps surae,12724.73368266
040,SJ_pre5,SJ,Iliopsoas,1926.46023985
040,SJ_pre5,SJ,Rectus femoris,2630.26901538
040,SJ_pre5,SJ,Tibialis anterior,801.12973303
040,SJ_pre5,SJ,Piriformis,1080.75761962
041,SJ_pre1,SJ,Vasti,6923.14177913
041,SJ_pre1,SJ,Gluteus maximus,2064.13265774
041,SJ_pre1,SJ,Gluteus medius,2350.51454732
041,SJ_pre1,SJ,Gluteus minimus,1184.72541559
041,SJ_pre1,SJ,Hamstrings,4702.27979457
041,SJ_pre1,SJ,Adductors,3410.8793349199996
041,SJ_pre1,SJ,Triceps surae,6535.11714448
041,SJ_pre1,SJ,Iliopsoas,3010.36479836
041,SJ_pre1,SJ,Rectus femoris,2569.47897122
041,SJ_pre1,SJ,Tibialis anterior,1666.88577804
041,SJ_pre1,SJ,Piriformis,963.41485499
